"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"1999",-0.138149676035284,0.870968318904366,1999,2,-9.5,1.85683208252292,0.985863763618555,827
"2000",0.478383979459288,1.61346490183462,2000,3,-8.5,1.80192754886117,0.188462647026555,827
"2001",0.223934965012249,1.25098965868561,2001,4,-7.5,1.74702301519943,0.496033356513814,827
"2002",0.810640084822841,2.24934729905375,2002,5,-6.5,1.69211848153768,-0.557228817516067,827
"2003",0.450583918778489,1.56922821984461,2003,6,-5.5,1.63721394787594,0.0679857280313232,827
"2004",0.654763649783428,1.92468756329181,2004,7,-4.5,1.58230941421419,-0.342378149077625,827
"2005",-0.0571507014848156,0.944451728363491,2005,8,-3.5,1.52740488055244,0.582953152188951,827
"2006",0.190382027505019,1.2097116525172,2006,9,-2.5,1.4725003468907,0.262788694373493,827
"2007",0.146819990106739,1.15814546662288,2007,10,-1.5,1.41759581322895,0.259450346606067,827
"2008",0.385117463868192,1.46978695816318,2008,11,-0.5,1.3626912795672,-0.107095678595977,827
"2009",0.980080836482465,2.66467163590542,2009,12,0.5,1.30778674590546,-1.35688488999997,827
"2010",0.647556090024969,1.91086513548852,2010,13,1.5,1.25288221224371,-0.657982923244809,827
"2011",-0.0930075638706125,0.911186608172467,2011,14,2.5,1.19797767858196,0.286791070409497,827
"2012",-0.29190636961493,0.746838459472369,2012,15,3.5,1.14307314492022,0.396234685447849,827
"2013",-0.133075607393246,0.875398902977505,2013,16,4.5,1.08816861125847,0.212769708280967,827
"2014",-0.715951650413928,0.488726793366006,2014,17,5.5,1.03326407759673,0.544537284230719,827
"2015",-0.330147283029933,0.718817855963344,2015,18,6.5,0.978359543934979,0.259541687971635,827
"2016",-0.345927412603804,0.707563845459679,2016,19,7.5,0.923455010273233,0.215891164813554,827
"2017",-0.45005422541053,0.637593576910908,2017,20,8.5,0.868550476611487,0.230956899700578,827
"2018",0.595689023240531,1.81428059588686,2018,21,9.5,0.81364594294974,-1.00063465293712,827
"2019",-0.45524063278695,0.634295317332634,2019,22,10.5,0.758741409287994,0.12444609195536,827
"1998",0.822642570398529,2.27650772783329,1998,1,-10.5,1.52533374660873,-0.751173981224558,864
"1999",0.0652135525539422,1.06738694325477,1999,2,-9.5,1.51890796744052,0.451521024185747,864
"2000",0.538536816021046,1.71349786444661,2000,3,-8.5,1.51248218827232,-0.201015676174292,864
"2001",0.257705913224055,1.29395822666036,2001,4,-7.5,1.50605640910411,0.212098182443747,864
"2002",0.846644836380964,2.33181010805757,2002,5,-6.5,1.4996306299359,-0.832179478121669,864
"2003",0.358480812410836,1.43115357147794,2003,6,-5.5,1.4932048507677,0.0620512792897632,864
"2004",0.376884696010337,1.45773621687886,2004,7,-4.5,1.48677907159949,0.0290428547206296,864
"2005",0.128793321441112,1.13745501230753,2005,8,-3.5,1.48035329243129,0.342898280123752,864
"2006",0.14481899271735,1.15583033762366,2006,9,-2.5,1.47392751326308,0.318097175639422,864
"2007",0.307643806890638,1.36021640292921,2007,10,-1.5,1.46750173409487,0.107285331165665,864
"2008",-0.112631716706123,0.893479653160654,2008,11,-0.5,1.46107595492667,0.567596301766015,864
"2009",0.0587588093103941,1.06051942248006,2009,12,0.5,1.45465017575846,0.394130753278403,864
"2010",0.623065944785808,1.86463615849731,2010,13,1.5,1.44822439659026,-0.416411761907052,864
"2011",-0.175978314212592,0.838636169625569,2011,14,2.5,1.44179861742205,0.603162447796482,864
"2012",0.00476046188219592,1.00477181088254,2012,15,3.5,1.43537283825385,0.430601027371302,864
"2013",0.6357614023268,1.8884594716318,2013,16,4.5,1.42894705908564,-0.459512412546158,864
"2014",0.53533155915327,1.70801445620919,2014,17,5.5,1.42252127991743,-0.285493176291755,864
"2015",0.535538647244472,1.70836820228971,2015,18,6.5,1.41609550074923,-0.292272701540479,864
"2016",0.207868564744067,1.2310513553651,2016,19,7.5,1.40966972158102,0.178618366215924,864
"2017",0.189866067488592,1.20908765066694,2017,20,8.5,1.40324394241282,0.194156291745872,864
"2018",0.694613158783398,2.00293410658962,2018,21,9.5,1.39681816324461,-0.606115943345007,864
"2019",0.362889193499589,1.43747656866816,2019,22,10.5,1.3903923840764,-0.0470841845917569,864
"1998",0.166918273552608,1.18165768867705,1998,1,-10.5,1.49552144787461,0.313863759197559,900
"1999",0.214257031887474,1.23894106123083,1999,2,-9.5,1.47083652461851,0.231895463387677,900
"2000",0.396010325599252,1.48588466012171,2000,3,-8.5,1.44615160136241,-0.0397330587593065,900
"2001",-0.22895928593028,0.795360915225648,2001,4,-7.5,1.42146667810631,0.626105762880657,900
"2002",0.761270939513007,2.14099556793218,2002,5,-6.5,1.3967817548502,-0.744213813081977,900
"2003",0.250841729199362,1.28510667337251,2003,6,-5.5,1.3720968315941,0.0869901582215888,900
"2004",0.375082520412083,1.45511148606342,2004,7,-4.5,1.347411908338,-0.107699577725419,900
"2005",0.0371720433198429,1.03787156434861,2005,8,-3.5,1.3227269850819,0.284855420733287,900
"2006",0.114559481435472,1.12137934033313,2006,9,-2.5,1.29804206182579,0.176662721492664,900
"2007",0.606771666611428,1.83449945294893,2007,10,-1.5,1.27335713856969,-0.56114231437924,900
"2008",0.68035294483461,1.97457452513768,2008,11,-0.5,1.24867221531359,-0.725902309824095,900
"2009",0.217703696397825,1.24321864287679,2009,12,0.5,1.22398729205749,-0.0192313508193065,900
"2010",0.673854229839,1.96178393427923,2010,13,1.5,1.19930236880138,-0.76248156547785,900
"2011",-0.301741347942449,0.73952932093456,2011,14,2.5,1.17461744554528,0.435088124610722,900
"2012",-0.382280732033007,0.68230348187295,2012,15,3.5,1.14993252228918,0.46762904041623,900
"2013",-0.0980558683139656,0.90659825222323,2013,16,4.5,1.12524759903308,0.218649346809847,900
"2014",0.500948387606406,1.65028563921628,2014,17,5.5,1.10056267577698,-0.549722963439305,900
"2015",-0.0889947591500988,0.91485036815535,2015,18,6.5,1.07587775252087,0.161027384365523,900
"2016",0.161776548954428,1.17559752347401,2016,19,7.5,1.05119282926477,-0.124404694209242,900
"2017",-0.209927703546314,0.810642850455007,2017,20,8.5,1.02650790600867,0.215865055553661,900
"2018",-0.911585684701017,0.401886453315067,2018,21,9.5,1.00182298275257,0.599936529437499,900
"2019",0.149432577541708,1.16117517888764,2019,22,10.5,0.977138059496463,-0.184037119391178,900
"1998",0.426307228070492,1.53159125068263,1998,1,-10.5,1.06815346830994,-0.463437782372685,901
"1999",0.00724825702256571,1.0072745892199,1999,2,-9.5,1.09209386276464,0.0848192735447404,901
"2000",0.191854421531526,1.21149413666564,2000,3,-8.5,1.11603425721933,-0.0954598794463153,901
"2001",0.0841007504148403,1.08773847839132,2001,4,-7.5,1.13997465167402,0.052236173282697,901
"2002",0.129954598413654,1.13877667988316,2002,5,-6.5,1.16391504612871,0.0251383662455509,901
"2003",0.0290235759313123,1.02944886440475,2003,6,-5.5,1.1878554405834,0.15840657617865,901
"2004",0.391722399222086,1.47952693656069,2004,7,-4.5,1.2117958350381,-0.26773110152259,901
"2005",-0.285781389250149,0.751426867983669,2005,8,-3.5,1.23573622949279,0.484309361509118,901
"2006",0.0285039842478657,1.02891411027521,2006,9,-2.5,1.25967662394748,0.230762513672274,901
"2007",0.0613646219331165,1.06328654110834,2007,10,-1.5,1.28361701840217,0.220330477293833,901
"2008",-0.0594977156404025,0.942237685998473,2008,11,-0.5,1.30755741285686,0.36531972685839,901
"2009",0.325430075173108,1.38462601121713,2009,12,0.5,1.33149780731155,-0.0531282039055805,901
"2010",0.779162030852466,2.17964502473613,2010,13,1.5,1.35543820176625,-0.824206822969881,901
"2011",0.23465478834251,1.26447218284187,2011,14,2.5,1.37937859622094,0.114906413379069,901
"2012",0.742955489564486,2.10213919297307,2012,15,3.5,1.40331899067563,-0.698820202297443,901
"2013",-0.13076898543034,0.877420447887057,2013,16,4.5,1.42725938513032,0.549838937243265,901
"2014",-0.246684351670305,0.781387298204675,2014,17,5.5,1.45119977958501,0.669812481380338,901
"2015",0.46001337497095,1.5840951720797,2015,18,6.5,1.4751401740397,-0.108954998039997,901
"2016",-0.0625276003999161,0.939387134995066,2016,19,7.5,1.4990805684944,0.55969343349933,901
"2017",0.936492056620027,2.55101688119722,2017,20,8.5,1.52302096294909,-1.02799591824813,901
"2018",0.662695776899966,1.94001513947905,2018,21,9.5,1.54696135740378,-0.393053782075268,901
"2019",0.142962723161282,1.15368679506785,2019,22,10.5,1.57090175185847,0.417214956790623,901
"1998",0.585717556384548,1.79627945510131,1998,1,-10.5,1.55958553520466,-0.236693919896656,715
"1999",0.330533728796328,1.39171072636403,1999,2,-9.5,1.53935048562036,0.147639759256327,715
"2000",0.407337609319394,1.50281138315457,2000,3,-8.5,1.51911543603606,0.0163040528814866,715
"2001",0.142533545213522,1.15319176437251,2001,4,-7.5,1.49888038645176,0.345688622079248,715
"2002",0.35545115253789,1.42682422446639,2002,5,-6.5,1.47864533686746,0.0518211124010675,715
"2003",0.256714464512064,1.29267596919446,2003,6,-5.5,1.45841028728316,0.1657343180887,715
"2004",-0.0611121482809053,0.94071773398329,2004,7,-4.5,1.43817523769886,0.497457503715574,715
"2005",0.478473175197532,1.61360882244613,2005,8,-3.5,1.41794018811457,-0.19566863433156,715
"2006",0.553061957691494,1.73856829870646,2006,9,-2.5,1.39770513853027,-0.340863160176195,715
"2007",0.363204776315398,1.43793028315984,2007,10,-1.5,1.37747008894597,-0.0604601942138738,715
"2008",0.302345379767434,1.3530284546723,2008,11,-0.5,1.35723503936167,0.00420658468936908,715
"2009",0.370748635874794,1.44881884652984,2009,12,0.5,1.33699998977737,-0.111818856752467,715
"2010",0.763509259109093,2.1457931675446,2010,13,1.5,1.31676494019307,-0.829028227351528,715
"2011",0.30353894891857,1.35464435184708,2011,14,2.5,1.29652989060877,-0.0581144612383082,715
"2012",0.0918178018821533,1.0961650846702,2012,15,3.5,1.27629484102448,0.180129756354273,715
"2013",0.674752355620996,1.96354665446305,2013,16,4.5,1.25605979144018,-0.707486863022871,715
"2014",0.0118938411689667,1.01196485415764,2014,17,5.5,1.23582474185588,0.223859887698236,715
"2015",0.0372154100413499,1.03791657441166,2015,18,6.5,1.21558969227158,0.177673117859918,715
"2016",-0.359175224654329,0.698251989667971,2016,19,7.5,1.19535464268728,0.497102653019311,715
"2017",-0.037619634826442,0.963079193016409,2017,20,8.5,1.17511959310298,0.212040400086574,715
"2018",-0.632940925860965,0.531027788954991,2018,21,9.5,1.15488454351868,0.623856754563694,715
"2019",0.55275211510036,1.7380296996447,2019,22,10.5,1.13464949393439,-0.603380205710314,715
"1998",-0.230427052072375,0.794194367722427,1998,1,-10.5,1.4533544985239,0.659160130801474,641
"1999",0.284326375696719,1.32886656973688,1999,2,-9.5,1.44240113009589,0.113534560359016,641
"2000",0.117140300539683,1.12427715531743,2000,3,-8.5,1.43144776166789,0.307170606350459,641
"2001",0.262728102886565,1.30047307600119,2001,4,-7.5,1.42049439323988,0.120021317238689,641
"2002",0.52247045310982,1.68618815719021,2002,5,-6.5,1.40954102481187,-0.27664713237834,641
"2003",0.936054323757315,2.54990046163957,2003,6,-5.5,1.39858765638386,-1.15131280525571,641
"2004",0.47358316017818,1.6057375121668,2004,7,-4.5,1.38763428795586,-0.218103224210944,641
"2005",0.413536766335532,1.51215648282718,2005,8,-3.5,1.37668091952785,-0.135475563299327,641
"2006",0.216739522098155,1.24202054109475,2006,9,-2.5,1.36572755109984,0.123707010005093,641
"2007",-0.0282180213475248,0.972176388487938,2007,10,-1.5,1.35477418267184,0.382597794183898,641
"2008",0.592247741204406,1.80804787508968,2008,11,-0.5,1.34382081424383,-0.46422706084585,641
"2009",0.253851720971102,1.28898066129618,2009,12,0.5,1.33286744581582,0.0438867845196389,641
"2010",0.643095973513064,1.90236143219619,2010,13,1.5,1.32191407738781,-0.580447354808379,641
"2011",0.379135189175747,1.46102053655523,2011,14,2.5,1.31096070895981,-0.150059827595425,641
"2012",-0.0493843481986032,0.951815230917334,2012,15,3.5,1.3000073405318,0.348192109614465,641
"2013",0.0822195370178166,1.08569413372051,2013,16,4.5,1.28905397210379,0.203359838383281,641
"2014",0.0396424266173504,1.0404386744936,2014,17,5.5,1.27810060367579,0.237661929182185,641
"2015",-0.587978713233511,0.555448872282616,2015,18,6.5,1.26714723524778,0.711698362965163,641
"2016",-0.491586996392077,0.611654929366625,2016,19,7.5,1.25619386681977,0.644538937453146,641
"2017",-0.386175831569847,0.679651011069184,2017,20,8.5,1.24524049839176,0.56558948732258,641
