"cors","focal","sqq","nyears"
1,"899","899",22
0.218280256074676,"899","753",22
0.185754176232058,"899","827",22
0.113789325781,"899","864",22
0.271837867606275,"899","900",22
0.0744619435940066,"899","901",22
0.255394815844823,"899","715",22
-0.118736434275072,"899","641",22
0.342935280830474,"899","902",20
-0.394218015650603,"899","790",22
-0.126828567409491,"899","716",19
-0.0429002589214075,"899","713",13
0.332959110990162,"899","828",13
0.248467361926009,"899","789",21
0.845978024518667,"899","749",8
0.633952893165642,"899","788",7
0.344832493536291,"899","823",11
-0.306712483572503,"899","865",19
-0.324940562387483,"899","750",17
0.166946855017712,"899","826",15
-0.283548985949212,"899","825",16
-0.113875416766825,"899","898",7
-0.221300403838039,"899","935",14
0.0777409720737362,"899","752",10
0.398132811902615,"899","822",12
0.103013370730411,"899","787",6
-0.814416434031468,"899","604",7
0.0873115243794745,"899","679",7
-0.569511487017447,"899","714",9
-0.463150984736102,"899","934",8
-0.0590514061758201,"899","824",6
-0.834039796378777,"899","861",6
0.523124947631783,"899","938",5
-0.836876144431672,"899","937",5
1,"753","753",22
0.221733003953822,"753","827",22
0.152557826427737,"753","864",22
0.52143352941037,"753","900",22
-0.219878361071387,"753","901",22
0.328502581253723,"753","715",22
0.320012573964037,"753","641",22
0.214065365283426,"753","902",20
-0.0122342853377742,"753","790",22
-0.0673768673580145,"753","716",19
0.218527717547442,"753","713",13
0.508213369916989,"753","828",13
0.3587536058335,"753","789",21
0.0547119304868918,"753","749",8
-0.369903693412651,"753","788",7
0.507275788421309,"753","823",11
0.105293508884856,"753","865",19
-0.0665145673593366,"753","750",17
-0.158671793054455,"753","826",15
0.338941147966411,"753","825",16
-0.0840065882077237,"753","898",7
0.624705393586267,"753","935",14
-0.162177260827559,"753","752",10
-0.11764602499305,"753","822",12
0.63608763014594,"753","787",6
0.55848207076007,"753","604",7
0.489164438534107,"753","679",7
0.0689310907044736,"753","714",9
-0.105147314074665,"753","934",8
0.444052018867056,"753","824",6
-0.485729531280657,"753","861",6
0.39962228386995,"753","938",5
-0.506275708379232,"753","937",5
1,"827","827",22
0.467461484920745,"827","864",22
0.152221512730894,"827","900",22
0.383351308428196,"827","901",22
0.0843426173855202,"827","715",22
0.346950195921937,"827","641",22
0.402128398261275,"827","902",20
-0.0652139652012343,"827","790",22
0.0706335285225956,"827","716",19
0.162961863014125,"827","713",13
0.048473484687277,"827","828",13
-0.00908104115218997,"827","789",21
0.383306536978379,"827","749",8
0.78413307235853,"827","788",7
0.239290466527738,"827","823",11
0.271213219594464,"827","865",19
-0.223491920598498,"827","750",17
0.204775839001354,"827","826",15
0.515893039420702,"827","825",16
-0.269444748077731,"827","898",7
0.0577034971161415,"827","935",14
0.0730686665066069,"827","752",10
-0.451862897116987,"827","822",12
0.500432563383625,"827","787",6
0.230159079843489,"827","604",7
-0.263986947089948,"827","679",7
-0.116064256046071,"827","714",9
0.203681052278469,"827","934",8
0.455374042357578,"827","824",6
0.503952392862267,"827","861",6
-0.103057813714174,"827","938",5
0.716773869915755,"827","937",5
1,"864","864",22
0.19780807661895,"864","900",22
0.162033603740681,"864","901",22
0.133278996497708,"864","715",22
0.12081228004065,"864","641",22
0.358498389467392,"864","902",20
-0.14847796136299,"864","790",22
0.127725907988386,"864","716",19
0.251328263383748,"864","713",13
0.14255715400747,"864","828",13
0.408031710735749,"864","789",21
0.247016610580203,"864","749",8
0.49572414441438,"864","788",7
0.609733149625301,"864","823",11
0.339174412262981,"864","865",19
0.53402614786384,"864","750",17
0.447246178084539,"864","826",15
0.160780911817256,"864","825",16
-0.278307093560887,"864","898",7
0.327033087414947,"864","935",14
0.319877862232264,"864","752",10
-0.387436588945764,"864","822",12
0.67916875124209,"864","787",6
-0.00128345431292477,"864","604",7
0.762580130561621,"864","679",7
0.135961583704141,"864","714",9
0.00663622361339864,"864","934",8
0.107643940941986,"864","824",6
0.850271481045056,"864","861",6
-0.575240816755898,"864","938",5
0.987580271844212,"864","937",5
1,"900","900",22
-0.190441238777377,"900","901",22
0.271138529980305,"900","715",22
0.0180907499879427,"900","641",22
0.532987014910999,"900","902",20
-0.377000303007959,"900","790",22
-0.214645557033893,"900","716",19
0.509070087018733,"900","713",13
0.500076222922842,"900","828",13
0.165266484676689,"900","789",21
-0.186728332000827,"900","749",8
-0.060680426865991,"900","788",7
0.477511277584308,"900","823",11
-0.236109134996697,"900","865",19
-0.102597061785883,"900","750",17
0.419925630931743,"900","826",15
-0.128932720318219,"900","825",16
-0.726985957756456,"900","898",7
0.088451276230683,"900","935",14
0.484541571232651,"900","752",10
-0.0622603052635388,"900","822",12
0.62769521103782,"900","787",6
0.0435508799115317,"900","604",7
0.540075410520654,"900","679",7
-0.115371982280805,"900","714",9
-0.0341806686744892,"900","934",8
0.126423430932149,"900","824",6
-0.493307125864912,"900","861",6
0.458197938650407,"900","938",5
-0.720691904060179,"900","937",5
1,"901","901",22
-0.0796044897381993,"901","715",22
0.0640294764805949,"901","641",22
0.302301919728275,"901","902",20
-0.123441975880856,"901","790",22
0.308513642056644,"901","716",19
-0.374777902490011,"901","713",13
-0.247795861447805,"901","828",13
-0.0186108465789972,"901","789",21
0.0610767352993468,"901","749",8
0.756515311635345,"901","788",7
0.13370534951832,"901","823",11
