"cors","focal","sqq","nyears"
1,"604","604",8
-0.256682769246185,"604","641",8
0.159363242016819,"604","679",7
-0.33186099813329,"604","713",6
0.148354134349739,"604","714",7
0.471787627696991,"604","715",8
-0.26686325590021,"604","716",8
NA,"604","749",0
0.408293882743119,"604","750",7
0.532702298988726,"604","752",8
0.392602261773528,"604","753",8
-0.672964152340205,"604","787",4
NA,"604","788",0
0.234610032513233,"604","789",8
0.259540123239855,"604","790",8
0.0938272067259275,"604","822",8
0.00666158616071124,"604","823",3
0.879731121517809,"604","824",5
0.403050024752644,"604","825",8
0.542109619582428,"604","826",8
0.186397427883383,"604","827",8
0.62512432826238,"604","828",5
0.424001674584285,"604","861",4
0.687806982898819,"604","863",3
-0.127811883219088,"604","864",8
0.221306652013807,"604","865",8
-0.999948534286197,"604","866",3
-0.327872505463689,"604","898",4
0.321590108071861,"604","899",8
-0.0500398078812279,"604","900",8
0.178385270124597,"604","901",8
0.317551844289115,"604","902",8
-0.474371903294822,"604","903",3
-0.370858164316914,"604","934",6
0.45541545895317,"604","935",8
0.010534473355736,"604","936",8
0.192719375601983,"604","937",8
-0.18309741522547,"604","938",8
0.125716708044104,"604","939",7
1,"641","641",22
-0.0658793960426291,"641","679",8
0.29673132388435,"641","713",14
0.14560108437002,"641","714",10
0.245772876544238,"641","715",22
-0.0790424067032796,"641","716",21
-0.29657843614838,"641","749",10
-0.0158284060144118,"641","750",19
-0.0304888864123199,"641","752",21
0.401907308942249,"641","753",22
0.344249426012129,"641","787",6
0.149633968051319,"641","788",7
0.405362018632764,"641","789",22
0.432453817947771,"641","790",22
0.455321470124942,"641","822",14
-0.381624882828214,"641","823",13
0.00598631420289877,"641","824",6
0.304578130616221,"641","825",17
0.114651615587768,"641","826",21
0.086531259330429,"641","827",22
-0.37226450379143,"641","828",14
0.373630783106584,"641","861",12
-0.289216030704901,"641","863",13
-0.214697040759823,"641","864",22
0.366060502478819,"641","865",22
0.320822587422429,"641","866",6
0.124231497707142,"641","898",13
0.0319007190082625,"641","899",22
0.287474374859439,"641","900",22
0.329583345259822,"641","901",22
0.352406260039047,"641","902",22
-0.036391507474066,"641","903",6
-0.17052220519273,"641","934",9
0.581086269973484,"641","935",14
0.287635987433268,"641","936",21
-0.115338641190515,"641","937",22
0.309904037104302,"641","938",22
-0.0241464564582469,"641","939",21
1,"679","679",8
0.084588262310257,"679","713",7
-0.519592895196809,"679","714",7
-0.563022448018525,"679","715",8
-0.621953348192395,"679","716",8
NA,"679","749",0
0.638202800866809,"679","750",7
0.194312273125705,"679","752",8
-0.660133441120279,"679","753",8
-0.914423584377245,"679","787",4
NA,"679","788",0
