"predicted","predictedCRlo","predictedCRup","year","year2","year.c","year.c2","predlinear","residuals","sqq"
0.438795782229863,0.0243649031152017,0.920620347786462,2005,8,-3,9,0.668958433403981,0.230162651174118,788
0.44995360445464,0.0164365782577079,0.927406192832859,2006,9,-2,4,0.646638339526964,0.196684735072324,788
0.480071629930171,0.0295992817904335,0.971032913890667,2007,10,-1,1,0.624318245649946,0.144246615719775,788
0.490958934667287,0.031365457281936,0.991988051857334,2008,11,0,0,0.601998151772929,0.111039217105641,788
0.529499969704193,0.0555279391061049,0.979362211091211,2009,12,1,1,0.579678057895911,0.050178088191718,788
0.496981803988456,0.0381676249089651,0.964251772570424,2010,13,2,4,0.557357964018893,0.0603761600304377,788
0.485481471987441,0.0375166051904671,0.985676558350678,2011,14,3,9,0.535037870141876,0.0495563981544348,788
0.510656319028931,0.0127221964357886,0.971031718910672,2012,15,4,16,0.512717776264858,0.00206145723592766,788
0.487632773685618,0.049525038304273,0.971238252654439,2013,16,5,25,0.490397682387841,0.00276490870222246,788
0.52016424855683,0.033136863715481,0.945045299752382,2014,17,6,36,0.468077588510823,-0.0520866600460068,788
0.548356448952109,0.0107029761362355,0.985203688638285,2015,18,7,49,0.445757494633806,-0.102598954318303,788
0.464813952619443,0.0674751219688915,0.960446563287405,2016,19,8,64,0.423437400756788,-0.0413765518626547,788
0.514069168048445,0.0116019935696386,0.942948184371926,2017,20,9,81,0.40111730687977,-0.112951861168675,788
0.451654997360311,0.0441855490556918,0.953376941866008,2018,21,10,100,0.378797213002753,-0.0728577843575577,788
0.495250665280037,0.0273147286323365,0.988062632549554,1998,1,-10,100,0.514772001625978,0.0195213363459414,938
0.480662023418699,0.0305080488906242,0.95328110132832,1999,2,-9,81,0.514221518692494,0.0335594952737947,938
0.661369067015144,0.144259458703545,0.981861261725396,2000,3,-8,64,0.51367103575901,-0.147698031256133,938
0.565226798481308,0.02666691794293,0.966112432396039,2001,4,-7,49,0.513120552825526,-0.0521062456557818,938
0.511258278781315,0.0584024610288907,0.965660311764804,2002,5,-6,36,0.512570069892042,0.00131179111072688,938
0.459941452584462,0.030337192612933,0.960448314977111,2003,6,-5,25,0.512019586958558,0.0520781343740961,938
0.474713337118737,0.0102678618277423,0.947075555939227,2004,7,-4,16,0.511469104025074,0.036755766906337,938
0.462654107692651,0.0489097863901407,0.946996546135051,2005,8,-3,9,0.51091862109159,0.048264513398939,938
0.52049379395612,0.0250359551864676,0.939090178551851,2006,9,-2,4,0.510368138158106,-0.0101256557980141,938
0.464301635170705,0.0201257664419245,0.967001364042517,2007,10,-1,1,0.509817655224623,0.0455160200539178,938
0.488995856992551,0.0500794774328824,0.947202391322935,2008,11,0,0,0.509267172291139,0.0202713152985875,938
0.486477244098205,0.0249037712113932,0.955993392557138,2009,12,1,1,0.508716689357655,0.0222394452594495,938
0.556450063586817,0.0717608658364043,0.988531139260158,2010,13,2,4,0.508166206424171,-0.0482838571626464,938
0.454545289155794,0.0347124621272087,0.944624902884243,2011,14,3,9,0.507615723490687,0.0530704343348924,938
0.503479970453191,0.0508957828569692,0.989673952828162,2012,15,4,16,0.507065240557203,0.00358527010401222,938
0.49753405219235,0.0456518362741917,0.945805039961124,2013,16,5,25,0.506514757623719,0.00898070543136897,938
0.569509487744654,0.0567335380823351,0.975950607092818,2014,17,6,36,0.505964274690235,-0.0635452130544186,938
0.521084801782854,0.0665013728488702,0.974191954894922,2015,18,7,49,0.505413791756751,-0.0156710100261028,938
0.503336191590643,0.0313683613028843,0.986625658365665,2016,19,8,64,0.504863308823267,0.00152711723262455,938
0.46771350284107,0.00910018441500142,0.955945918970974,2017,20,9,81,0.504312825889783,0.0365993230487128,938
0.549612998176599,0.0544660443265457,0.992775820178213,2018,21,10,100,0.503762342956299,-0.0458506552202997,938
0.548168950559921,0.0365356098511256,0.983771782799158,1998,1,-10,100,0.80470727185028,0.256538321290359,823
0.696432998858634,0.249577472715408,0.991018307681151,1999,2,-9,81,0.787426972080852,0.0909939732222188,823
0.888559412453509,0.708964596051429,0.997429276527568,2000,3,-8,64,0.770146672311425,-0.118412740142084,823
0.883699465902278,0.644157899202428,0.996576692616365,2001,4,-7,49,0.752866372541998,-0.13083309336028,823
0.828750842760815,0.433138687278469,0.996719421902907,2002,5,-6,36,0.735586072772571,-0.0931647699882445,823
0.851523491631881,0.632219079911876,0.99133885959262,2003,6,-5,25,0.718305773003143,-0.133217718628738,823
0.725481697491988,0.206805704787922,0.978008222050966,2004,7,-4,16,0.701025473233716,-0.0244562242582718,823
0.673990944952716,0.198775500036298,0.993011761397071,2005,8,-3,9,0.683745173464289,0.00975422851157237,823
0.671249218873984,0.148515480915325,0.977997480972997,2006,9,-2,4,0.666464873694862,-0.00478434517912285,823
0.686511057749899,0.172992066939062,0.982569270088497,2007,10,-1,1,0.649184573925434,-0.0373264838244645,823
0.763581732504015,0.38431028381772,0.99819252826912,2008,11,0,0,0.631904274156007,-0.131677458348007,823
0.468929418618791,0.0303575873433147,0.954458679887466,2009,12,1,1,0.61462397438658,0.145694555767789,823
0.478372857352952,0.0438492341956589,0.961034270736854,2010,13,2,4,0.597343674617153,0.118970817264201,823
0.529383887143922,0.0498317272635177,0.953958439506823,2011,14,3,9,0.580063374847725,0.0506794877038034,823
0.531325130848563,0.0609244192542974,0.974811079306528,2012,15,4,16,0.562783075078298,0.0314579442297349,823
0.512827901908895,0.0335689247353002,0.974264397972729,2013,16,5,25,0.545502775308871,0.0326748733999759,823
0.492480569705367,0.0411705042759422,0.968685696396278,2014,17,6,36,0.528222475539444,0.0357419058340766,823
0.503004961070837,0.00806168495910242,0.949316855781944,2015,18,7,49,0.510942175770016,0.00793721469917896,823
0.547695774523891,0.0399270879337564,0.951707593415631,2016,19,8,64,0.493661876000589,-0.0540338985233014,823
0.519786724387086,0.0399541050894186,0.946121277491329,2017,20,9,81,0.476381576231162,-0.043405148155924,823
0.468232717976207,0.0267277463455684,0.973969162191497,2018,21,10,100,0.459101276461735,-0.0091314415144722,823
0.52665227126854,0.0312920868047513,0.984051307174377,1998,1,-10,100,0.616150587362566,0.089498316094026,750
0.514213031495456,0.019264113123063,0.961903076630551,1999,2,-9,81,0.619335149971258,0.105122118475803,750
0.500138183493982,0.0265191397920717,0.953871100995456,2000,3,-8,64,0.62251971257995,0.122381529085968,750
0.530990492278943,0.108684303885093,0.923534126777667,2001,4,-7,49,0.625704275188642,0.0947137829096997,750
0.763170135616321,0.324717498665982,0.994174064195253,2002,5,-6,36,0.628888837797335,-0.134281297818986,750
0.775481018570464,0.34169655987346,0.991423828194834,2003,6,-5,25,0.632073400406027,-0.143407618164438,750
0.920883055034693,0.775592189452097,0.995814004924981,2004,7,-4,16,0.635257963014719,-0.285625092019974,750
0.680961452295273,0.172629703594749,0.986466931894654,2005,8,-3,9,0.638442525623411,-0.0425189266718624,750
0.457655603755848,0.0156497068179306,0.963124289939878,2006,9,-2,4,0.641627088232103,0.183971484476256,750
0.553390814265003,0.0402057216560934,0.974178522865986,2007,10,-1,1,0.644811650840795,0.0914208365757917,750
0.704741917979141,0.18246024323846,0.991964559420176,2008,11,0,0,0.647996213449487,-0.0567457045296537,750
0.676977409960883,0.176771912220066,0.976127059640736,2009,12,1,1,0.651180776058179,-0.0257966339027031,750
0.684055095753969,0.192882550488756,0.978773187092967,2010,13,2,4,0.654365338666872,-0.0296897570870974,750
0.662065039696485,0.171122014452514,0.985012267727244,2011,14,3,9,0.657549901275564,-0.00451513842092122,750
0.666958389406769,0.184181120211564,0.975616736461682,2012,15,4,16,0.660734463884256,-0.00622392552251361,750
0.760085523063948,0.351136193844998,0.980923643637622,2013,16,5,25,0.663919026492948,-0.0961664965710004,750
0.629461974967174,0.181028817326374,0.981707970544326,2014,17,6,36,0.66710358910164,0.0376416141344658,750
0.845750335403753,0.553759287497498,0.990973369532201,2015,18,7,49,0.670288151710332,-0.175462183693421,750
0.780572031777837,0.304686228027056,0.998300284410423,2016,19,8,64,0.673472714319024,-0.107099317458813,750
0.462174784811214,0.0577995433355682,0.946078149881214,2017,20,9,81,0.676657276927716,0.214482492116503,750
0.51154192154354,0.0144507407094352,0.981779968529008,2018,21,10,100,0.679841839536409,0.168299917992869,750
0.526793496732716,0.0320652745547704,0.977622524544131,1998,1,-10,100,0.669479744849248,0.142686248116531,825
0.482189393500448,0.0267940681427717,0.984612178383395,1999,2,-9,81,0.674899386928872,0.192709993428424,825
0.530023722510668,0.0148097328376025,0.970409834338352,2000,3,-8,64,0.680319029008496,0.150295306497828,825
0.458704474501428,0.0189715366461314,0.909572059859056,2001,4,-7,49,0.685738671088121,0.227034196586693,825
0.512659310901654,0.032560817169724,0.966491206263891,2002,5,-6,36,0.691158313167745,0.178499002266091,825
0.828862208904347,0.518027668729219,0.995969028516192,2003,6,-5,25,0.69657795524737,-0.132284253656977,825
0.845866743029572,0.521821622366338,0.998312862995731,2004,7,-4,16,0.701997597326994,-0.143869145702578,825
0.877658521345618,0.628788209607079,0.998117032162499,2005,8,-3,9,0.707417239406618,-0.170241281939,825
0.857750171726317,0.587503532094192,0.989744695406854,2006,9,-2,4,0.712836881486243,-0.144913290240074,825
0.829884594293895,0.470897778742869,0.992361945224317,2007,10,-1,1,0.718256523565867,-0.111628070728028,825
0.866876854920932,0.661689931638179,0.994842065243834,2008,11,0,0,0.723676165645492,-0.14320068927544,825
0.873290848649136,0.635130294188614,0.994676828498017,2009,12,1,1,0.729095807725116,-0.14419504092402,825
0.937531365838874,0.820838365337689,0.998035542857056,2010,13,2,4,0.73451544980474,-0.203015916034134,825
0.926474748841585,0.750948596093894,0.998499476819436,2011,14,3,9,0.739935091884365,-0.186539656957221,825
0.90601188816557,0.703128887189483,0.993396003099767,2012,15,4,16,0.745354733963989,-0.160657154201581,825
0.876810671062927,0.579797482748168,0.998389926744889,2013,16,5,25,0.750774376043614,-0.126036295019314,825
0.793977838909333,0.464455164699308,0.991134479494327,2014,17,6,36,0.756194018123238,-0.0377838207860952,825
0.828828806210899,0.528943607476567,0.992211126445813,2015,18,7,49,0.761613660202862,-0.067215146008037,825
0.513340537334443,0.0565687888883986,0.961427417508093,2016,19,8,64,0.767033302282487,0.253692764948044,825
0.43092512661533,0.0591597306600306,0.948902064998401,2017,20,9,81,0.772452944362111,0.341527817746781,825
0.492738154559629,0.00822501433431171,0.947819361690199,2018,21,10,100,0.777872586441735,0.285134431882106,825
0.55263164586504,0.040097059274558,0.951796176971402,1998,1,-10,100,0.564050952377088,0.0114193065120477,898
0.487866000036593,0.0323045830184128,0.966501840128331,1999,2,-9,81,0.561743408455245,0.0738774084186528,898
0.491374035438639,0.0247184815292712,0.961910804838408,2000,3,-8,64,0.559435864533403,0.0680618290947641,898
0.551323031095671,0.0371276778460015,0.951258144644089,2001,4,-7,49,0.557128320611561,0.00580528951588943,898
0.525507717445726,0.0491564343741629,0.968729772954248,2002,5,-6,36,0.554820776689719,0.0293130592439932,898
0.478031576433568,0.0080357929924503,0.966577750194119,2003,6,-5,25,0.552513232767877,0.0744816563343083,898
0.656452356553258,0.154611719632521,0.984352555209643,2004,7,-4,16,0.550205688846034,-0.106246667707224,898
0.491964835696854,0.0149696521286387,0.963998328830348,2005,8,-3,9,0.547898144924192,0.0559333092273385,898
0.704240959021495,0.226029764097748,0.980623839665162,2006,9,-2,4,0.54559060100235,-0.158650358019145,898
0.702640992164206,0.217987853433394,0.989834257483867,2007,10,-1,1,0.543283057080508,-0.159357935083698,898
0.666526855284557,0.192413503652656,0.996284516158055,2008,11,0,0,0.540975513158666,-0.125551342125891,898
0.536965998270898,0.030928740388481,0.975565847929101,2009,12,1,1,0.538667969236823,0.00170197096592539,898
0.508403485672898,0.0313031484314706,0.976622537599178,2010,13,2,4,0.536360425314981,0.0279569396420837,898
0.54141093363578,0.0110025766014587,0.992461817589355,2011,14,3,9,0.534052881393139,-0.00735805224264052,898
0.470202731876634,0.0429911524814088,0.946306124055991,2012,15,4,16,0.531745337471297,0.0615426055946628,898
0.460201602685265,0.0211294328968506,0.975724080944201,2013,16,5,25,0.529437793549455,0.0692361908641895,898
0.504679368814686,0.0475632840069011,0.980761657678522,2014,17,6,36,0.527130249627613,0.0224508808129262,898
0.487798187119188,0.0298600665235426,0.961785702913767,2015,18,7,49,0.52482270570577,0.0370245185865826,898
0.509082068217685,0.057525740104029,0.995483401103411,2016,19,8,64,0.522515161783928,0.0134330935662427,898
0.520372559261159,0.0353113043296617,0.981848652788904,2017,20,9,81,0.520207617862086,-0.000164941399073082,898
0.51280883574218,0.0180015932186507,0.957572180300485,2018,21,10,100,0.517900073940244,0.00509123819806345,898
0.468466993939364,0.0375594940211158,0.94637556609232,1998,1,-10,100,0.590734161278881,0.122267167339517,935
0.496856945363106,0.0178034520708024,0.989783404412446,1999,2,-9,81,0.597677565506725,0.100820620143619,935
0.475502483817399,0.0437341391807422,0.967261013289681,2000,3,-8,64,0.604620969734569,0.12911848591717,935
0.525344789569499,0.0291047145379707,0.971075281768571,2001,4,-7,49,0.611564373962414,0.0862195843929147,935
0.519252435368253,0.0291827236709651,0.979815452196635,2002,5,-6,36,0.618507778190258,0.0992553428220047,935
0.425982632802334,0.0527633482764941,0.950163951958529,2003,6,-5,25,0.625451182418102,0.199468549615768,935
0.783295608637522,0.379340005756622,0.983262689957075,2004,7,-4,16,0.632394586645946,-0.150901021991576,935
0.831217340919761,0.558860853968482,0.995074440598384,2005,8,-3,9,0.63933799087379,-0.191879350045971,935
0.743060135895182,0.256503409392338,0.993476034537463,2006,9,-2,4,0.646281395101634,-0.0967787407935486,935
0.841510293475191,0.597405697163339,0.995698833879063,2007,10,-1,1,0.653224799329478,-0.188285494145713,935
0.759250115491254,0.351482763749575,0.977523772221338,2008,11,0,0,0.660168203557322,-0.0990819119339326,935
0.825946698100641,0.541974125173339,0.994809992590137,2009,12,1,1,0.667111607785166,-0.158835090315475,935
0.896182254743995,0.679001984707846,0.989212926158997,2010,13,2,4,0.67405501201301,-0.222127242730986,935
0.888714273516731,0.67765410620538,0.995072140962026,2011,14,3,9,0.680998416240854,-0.207715857275877,935
