"cors","focal","sqq","nyears"
1,"899","899",21
0.0285027115113556,"899","753",21
0.218384980449554,"899","900",21
0.0811411322643343,"899","827",21
0.122963327016565,"899","937",21
-0.203248143476381,"899","901",21
-0.42416400208155,"899","864",21
0.315958044749544,"899","715",21
-0.216724144594797,"899","752",21
-0.0415895079038058,"899","641",21
0.277200637587201,"899","902",21
0.256653611936608,"899","790",21
0.401963111551341,"899","826",21
-0.143518690938075,"899","716",21
0.395061751234063,"899","861",21
0.164812626914024,"899","936",21
0.0306272714467473,"899","865",21
0.0436446042679572,"899","713",21
0.102469667371528,"899","828",21
0.0753988407024154,"899","789",21
-0.00947820488828575,"899","749",21
-0.075584902414342,"899","788",21
0.100195490504888,"899","938",21
0.0511498376149062,"899","823",21
0.166176552055561,"899","750",21
0.0396987078994415,"899","825",21
0.200724558221009,"899","898",21
0.182152921081548,"899","935",21
-0.00392260372849611,"899","822",21
-0.0417762118505415,"899","787",21
-0.0218439780357014,"899","604",21
0.102306486784812,"899","679",21
0.144016954773432,"899","714",21
-0.0745288505860202,"899","934",21
0.305111757592212,"899","824",21
1,"753","753",21
0.366472106048098,"753","900",21
-0.0662028918534949,"753","827",21
-0.215916617063391,"753","937",21
0.0103384008057686,"753","901",21
-0.12525403842574,"753","864",21
0.340272021809951,"753","715",21
0.224926985922064,"753","752",21
0.105034705373349,"753","641",21
-0.00812994633970405,"753","902",21
0.337482327871156,"753","790",21
0.174614464499507,"753","826",21
0.02887839207783,"753","716",21
0.249090580128941,"753","861",21
0.188170559362146,"753","936",21
0.0694497407143441,"753","865",21
-0.19656108940217,"753","713",21
0.398011506047029,"753","828",21
0.0118292172476287,"753","789",21
0.0528614030580739,"753","749",21
-0.0269655917821997,"753","788",21
-0.104758145304225,"753","938",21
-0.326437582619234,"753","823",21
0.244884693246134,"753","750",21
0.0680454786949248,"753","825",21
-0.0194725840979951,"753","898",21
0.165008891924282,"753","935",21
-0.195839158245603,"753","822",21
0.226295747772723,"753","787",21
0.0991326039561423,"753","604",21
