"sqq","intercept","interceptlo","interceptup","scale","scalelo","scaleup","scale_se","minmaxdistance"
"604",0.880476599383503,0.880476599383503,0.880476599383503,128.951625191534,19.1039444728199,NA,0.282255903650354,424.724231745273
"826",0.768732339802793,0.768732339802793,0.768732339802793,311.803358127802,48.4354731072313,NA,0.228678743914396,424.724231745273
"790",0.833330201945437,0.833330201945437,0.833330201945437,117.035873816257,54.2361366465582,NA,0.206754127251036,424.724231745273
"864",0.785044376010809,0.785044376010809,0.785044376010809,424.724231745273,182.102503394309,NA,0.199202896245901,424.724231745273
"752",0.903217693221253,0.903217693221253,0.903217693221253,100.371509011633,40.6911523020135,NA,0.228859716997293,424.724231745273
"827",0.933472667284418,0.933472667284418,0.933472667284418,424.724231745273,73.7420595662775,NA,0.183717922026147,424.724231745273
"865",0.732383138334306,0.732383138334306,0.732383138334306,176.607156734136,44.1517891835341,NA,0.231822145720822,424.724231745273
"713",0.902856551508667,0.902856551508667,0.902856551508667,113.332291121063,45.3329164484254,NA,0.224298510523287,424.724231745273
"902",0.841385780839147,0.841385780839147,0.841385780839147,424.724231745273,174.974872505628,NA,0.187236952599139,424.724231745273
"789",0.975358046958733,0.975358046958733,0.975358046958733,90.8307041762882,42.8922769721361,NA,0.168391438698161,424.724231745273
"715",0.856175632251717,0.856175632251717,0.856175632251717,179.060556960471,50.677516120888,NA,0.227404507045347,424.724231745273
"641",0.717561305565214,0.717561305565214,0.717561305565214,424.724231745273,90.3310516607831,NA,0.214543864702331,424.724231745273
"822",0.967260190029266,0.967260190029266,0.967260190029266,192.243718773676,68.9175595603745,NA,0.228682661892142,424.724231745273
"901",0.909073698931855,0.909073698931855,0.909073698931855,252.345272246133,48.8410204347355,NA,0.232783156504046,424.724231745273
"935",0.707313696866217,0.707313696866217,0.707313696866217,424.724231745273,102.162231134472,NA,0.219236762721475,424.724231745273
"899",0.946141625513503,0.946141625513503,0.946141625513503,85.329365208405,36.5697279464593,NA,0.239552662196905,424.724231745273
"716",0.860786899593225,0.860786899593225,0.860786899593225,83.580785592585,29.0715775974209,NA,0.23257870147925,424.724231745273
"750",0.876880896184217,0.876880896184217,0.876880896184217,128.750408214253,51.5001632857013,NA,0.203340595037578,424.724231745273
"753",0.782275423758289,0.782275423758289,0.782275423758289,424.724231745273,67.8001542497284,NA,0.211983496479913,424.724231745273
"900",0.783362334640641,0.783362334640641,0.783362334640641,161.411060727545,36.3174886636976,NA,0.242154145964446,424.724231745273
"825",0.832484444850985,0.832484444850985,0.832484444850985,424.724231745273,141.006145704836,NA,0.174414216913632,424.724231745273
"679",0.693734328254606,0.693734328254606,0.693734328254606,424.724231745273,145.794298876836,NA,0.213294836703399,424.724231745273
"828",0.854432701954658,0.854432701954658,0.854432701954658,103.290513047931,33.4175189272719,NA,0.239796260247942,424.724231745273
"714",0.899471012225157,0.899471012225157,0.899471012225157,159.179029506118,50.9372894419577,NA,0.255868519230208,424.724231745273
"749",0.999073067744774,0.999073067744774,0.999073067744774,71.2871300466881,22.6822686512189,119.891991442157,0.234019971173374,424.724231745273
"823",0.970801310830798,0.970801310830798,0.970801310830798,424.724231745273,96.8278038736405,NA,0.167015976152197,424.724231745273
"788",0.803515082995163,0.803515082995163,0.803515082995163,424.724231745273,0,NA,0.356209197098414,424.724231745273
"898",0.944560732106552,0.944560732106552,0.944560732106552,183.305518325064,62.3238762305217,NA,0.252583770474501,424.724231745273
"787",0.904947067704029,0.904947067704029,0.904947067704029,424.724231745273,NA,NA,0.191127512220726,424.724231745273
"824",0.978324843145702,0.978324843145702,0.978324843145702,424.724231745273,76.4188989391509,NA,0.261764073484324,424.724231745273
"934",0.911135540551569,0.911135540551569,0.911135540551569,143.279583546149,57.3118334184596,NA,0.203790723102763,424.724231745273
"861",0.940552272900726,0.940552272900726,0.940552272900726,89.1631569803549,22.2907892450887,NA,0.276004344814274,424.724231745273
"938",0.867928824717806,0.867928824717806,0.867928824717806,138.331888877693,20.3429248349549,NA,0.284284642578897,424.724231745273
"937",-1.78107287616512,-1.78107287616512,-1.78107287616512,0,0,NA,0.892560179252225,424.724231745273
